impl,config,mesh_file,mesh_display,grid_res,num_triangles,runs,mean_ms,stdev_ms,min_ms,max_ms,speedup_vs_seq
openmp,omp_1t,data/airplane_0001.off,airplane_0001.off,64,104773,3,26.285875,0.247168,26.024619,26.516007,1.015999
openmp,omp_4t,data/airplane_0001.off,airplane_0001.off,64,104773,3,7.959790,0.582363,7.606614,8.631956,3.355166
openmp,omp_8t,data/airplane_0001.off,airplane_0001.off,64,104773,3,8.422541,5.746083,4.753508,15.044658,3.170827
pthreads,pth_1t,data/airplane_0001.off,airplane_0001.off,64,104773,3,28.046082,0.255214,27.878835,28.339838,0.952233
pthreads,pth_4t,data/airplane_0001.off,airplane_0001.off,64,104773,3,8.876764,0.110802,8.752794,8.966148,3.008576
pthreads,pth_8t,data/airplane_0001.off,airplane_0001.off,64,104773,3,7.546086,1.406783,6.580541,9.160154,3.539109
mpi,mpi_1p,data/airplane_0001.off,airplane_0001.off,64,104773,3,25.989717,0.229653,25.730507,26.167781,1.027576
mpi,mpi_4p,data/airplane_0001.off,airplane_0001.off,64,104773,3,20.669908,0.532012,20.081921,21.117980,1.292043
mpi,mpi_8p,data/airplane_0001.off,airplane_0001.off,64,104773,3,18.783937,4.879432,13.819895,23.574112,1.421769
cuda,cuda_64tpb,data/airplane_0001.off,airplane_0001.off,64,104773,3,0.608939,0.047285,0.564224,0.658432,43.857318
cuda,cuda_128tpb,data/airplane_0001.off,airplane_0001.off,64,104773,3,0.559445,0.038984,0.519168,0.596992,47.737312
cuda,cuda_256tpb,data/airplane_0001.off,airplane_0001.off,64,104773,3,0.709973,0.166551,0.531456,0.861184,37.616084
sequential,seq_1t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,1.063700,0.010168,1.053842,1.074152,1.000000
openmp,omp_1t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,1.066937,0.059154,1.014311,1.130961,0.996966
openmp,omp_4t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,1.604123,0.526203,1.149666,2.180624,0.663104
openmp,omp_8t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,7.633031,5.883033,3.281477,14.326336,0.139355
pthreads,pth_1t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,1.518833,0.423301,1.224992,2.004023,0.700341
pthreads,pth_4t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,0.708897,0.274941,0.525756,1.025049,1.500501
pthreads,pth_8t,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,1.345019,0.761028,0.787603,2.212054,0.790844
mpi,mpi_1p,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,2.066964,0.431200,1.640546,2.502792,0.514620
mpi,mpi_4p,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,0.495875,0.191101,0.385086,0.716539,2.145096
mpi,mpi_8p,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,0.409318,0.041673,0.382749,0.457347,2.598714
cuda,cuda_64tpb,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,0.790517,0.060012,0.738272,0.856064,1.345575
cuda,cuda_128tpb,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,1.934677,2.041152,0.749568,4.291584,0.549808
cuda,cuda_256tpb,data/bookshelf_0001.off,bookshelf_0001.off,64,96,3,0.827733,0.025504,0.811008,0.857088,1.285076
sequential,seq_1t,data/bottle_0001.off,bottle_0001.off,64,1070,3,3.487836,0.074454,3.412647,3.561533,1.000000
openmp,omp_1t,data/bottle_0001.off,bottle_0001.off,64,1070,3,3.708261,0.208473,3.567090,3.947708,0.940558
openmp,omp_4t,data/bottle_0001.off,bottle_0001.off,64,1070,3,3.067081,1.044793,2.376832,4.269095,1.137184
openmp,omp_8t,data/bottle_0001.off,bottle_0001.off,64,1070,3,8.837303,2.765767,6.284056,11.775301,0.394672
pthreads,pth_1t,data/bottle_0001.off,bottle_0001.off,64,1070,3,4.350339,0.326391,4.008154,4.658228,0.801739
pthreads,pth_4t,data/bottle_0001.off,bottle_0001.off,64,1070,3,3.893330,0.280039,3.572196,4.086713,0.895849
pthreads,pth_8t,data/bottle_0001.off,bottle_0001.off,64,1070,3,5.775222,2.159731,4.234807,8.243894,0.603931
mpi,mpi_1p,data/bottle_0001.off,bottle_0001.off,64,1070,3,4.635465,1.205935,3.652183,5.981006,0.752424
mpi,mpi_4p,data/bottle_0001.off,bottle_0001.off,64,1070,3,1.500796,0.109215,1.401574,1.617818,2.323991
